Name,PointValue,TickSize,Url
HBI,1,0.01,http://finance.yahoo.com/q?s=HBI
HCA,1,0.01,http://finance.yahoo.com/q?s=HCA
HD,1,0.01,http://finance.yahoo.com/q?s=hd
HES,1,0.01,http://finance.yahoo.com/q?s=HES
HFC,1,0.01,http://finance.yahoo.com/q?s=HFC
HIG,1,0.01,http://finance.yahoo.com/q?s=HIG
HII,1,0.01,http://finance.yahoo.com/q?s=HII
HLT,1,0.01,https://finance.yahoo.com/quote/HLT/
HOLX,1,0.01,http://finance.yahoo.com/q?s=HOLX
HON,1,0.01,http://finance.yahoo.com/q?s=HON
HPE,1,0.01,http://finance.yahoo.com/q?s=HPE
HPQ,1,0.01,http://finance.yahoo.com/q?s=hpq
HRL,1,0.01,http://finance.yahoo.com/q?s=HRL
HSIC,1,0.01,http://finance.yahoo.com/q?s=hsic
HST,1,0.01,http://finance.yahoo.com/q?s=HST
HSY,1,0.01,http://finance.yahoo.com/q?s=HSY
HUM,1,0.01,http://finance.yahoo.com/q?s=HUM
HWM,1,0.01,https://finance.yahoo.com/quote/HWM
IBM,1,0.01,http://finance.yahoo.com/q?s=ibm
ICE,1,0.01,http://finance.yahoo.com/q?s=ice
IDXX,1,0.01,https://finance.yahoo.com/quote/IDXX/?p=IDXX
IEX,1,0.01,https://finance.yahoo.com/quote/IEX
IFF,1,0.01,http://finance.yahoo.com/q?s=IFF
ILMN,1,0.01,http://finance.yahoo.com/q?s=ILMN
INCY,1,0.01,http://finance.yahoo.com/q?s=INCY
INFO,1,0.01,https://finance.yahoo.com/quote/INFO?p=INFO
INTC,1,0.01,http://finance.yahoo.com/q?s=intc
INTU,1,0.01,http://finance.yahoo.com/q?s=intu
IP,1,0.01,http://finance.yahoo.com/q?s=IP
IPG,1,0.01,http://finance.yahoo.com/q?s=IPG
IPGP,1,0.01,https://finance.yahoo.com/quote/IPGP
IQV,1,0.01,https://finance.yahoo.com/quote/IQV
IR,1,0.01,http://finance.yahoo.com/q?s=IR
IRM,1,0.01,http://finance.yahoo.com/q?s=IRM
ISRG,1,0.01,http://finance.yahoo.com/q?s=isrg
IT,1,0.01,https://finance.yahoo.com/quote/IT/
ITW,1,0.01,http://finance.yahoo.com/q?s=ITW
IVZ,1,0.01,http://finance.yahoo.com/q?s=IVZ
J,1,0.01,https://finance.yahoo.com/quote/J
JBHT,1,0.01,http://finance.yahoo.com/q?s=JBHT
JCI,1,0.01,http://finance.yahoo.com/q?s=JCI
JKHY,1,0.01,http://finance.yahoo.com/q?s=JKHY
JNJ,1,0.01,http://finance.yahoo.com/q?s=jnj
JNPR,1,0.01,http://finance.yahoo.com/q?s=jnpr
JPM,1,0.01,http://finance.yahoo.com/q?s=jpm
K,1,0.01,http://finance.yahoo.com/q?s=K
KEY,1,0.01,http://finance.yahoo.com/q?s=KEY
KEYS,1,0.01,http://finance.yahoo.com/q?s=KEYS
